stop_id,stop_code,stop_name,stop_lat,stop_lon,Routes,Direction,Accessibility,Type
3325,3325,Belfield Rd at Brockport Dr West Side,43.698945,-79.588836,45 | 927,Northbound,1,Bus
3326,3326,Belfield Rd at Brockport Dr,43.698544,-79.589609,45 | 927,Northbound,1,Bus
11091,11091,Berry Rd at Park Lawn Rd,43.635915,-79.494083,66,Southbound,1,Bus
1740,1740,Birchmount Rd at Finch Ave East,43.799148,-79.306217,17,Southbound,1,Bus
7549,7549,Birchmount Rd at Highview Ave South Side,43.69976,-79.265226,117,Southbound,1,Bus
7550,7550,Birchmount Rd at Highview Ave,43.699574,-79.264956,117,Northbound,1,Bus
9720,9720,Birchmount Rd at Steeles Ave South Side,43.820861,-79.316825,17,Northbound,1,Bus
526,526,Bloor St West at Islington Ave West Side,43.64451,-79.524265,300 | 337 | 37,Southbound,1,Bus
11999,11999,Bloor St West at Islington Ave,43.644845,-79.52317,149 | 300,Westbound,1,Bus
9952,9952,Bloor St West at Jane St,43.649118,-79.484624,149 | 300,Eastbound,1,Bus
11925,11925,Broadview Ave at Erindale Ave,43.677373,-79.358606,25 | 322 | 62 | 8 | 87,Northbound,1,Bus
4886,4886,Church St at Uphill Ave,43.708692,-79.508365,59,Westbound,1,Bus
4908,4908,Coxwell Ave at Mortimer Ave - Michael Garron Hospital,43.690745,-79.326731,322 | 70,Eastbound,1,Bus
4911,4911,Coxwell Ave at Plains Rd,43.696055,-79.328913,70,Westbound,1,Bus
1842,1842,3450 Danforth Ave,43.694178,-79.275031,20 | 300 | 68,Northbound,1,Bus
9955,9955,Danforth Ave at Main St,43.688277,-79.301688,300,Westbound,1,Bus
4003,4003,Keele St at Keelegate Dr,43.73283,-79.483379,101 | 341 | 41,Northbound,1,Bus
11689,11689,Keele St at St Clair Ave West,43.672216,-79.467341,89 | 989,Northbound,1,Bus
7899,7899,Keele St at St Clair Ave West,43.672009,-79.467228,341 | 41 | 941,Northbound,1,Bus
10755,10755,Keele St at Toro Rd,43.75995,-79.490202,101 | 341 | 41,Southbound,1,Bus
9154,9154,Keele St at Wilson Ave North Side,43.72718,-79.481969,341 | 41 | 941,Northbound,1,Bus
14141,14141,Wilson Ave at Keele St North Side,43.727289,-79.481998,101 | 120,Northbound,1,Bus
2752,2752,Kennedy Rd at Eglinton Ave East,43.731911,-79.267673,113,Eastbound,1,Bus
4113,4113,Kennedy Rd at Progress Ave,43.769265,-79.282028,343 | 43,Northbound,1,Bus
13624,13624,King St West at Shaw St East Side,43.641451,-79.414528,363 | 63,Southbound,1,Bus
4187,4187,King St West at Strachan Ave,43.641936,-79.412095,304 | 504 | 508,Eastbound,1,Streetcar
4285,4285,Kipling Ave at Belfield Rd - Etobicoke North GO Station,43.704725,-79.56316,45 | 945,Northbound,1,Bus
4291,4291,Kipling Ave at Bloor St West North Side,43.642305,-79.535426,45 | 46,Northbound,1,Bus
5213,5213,Lansdowne Ave at Davenport Rd South Side,43.671144,-79.44826,47,Southbound,2,Bus
11632,11632,Lansdowne Ave at Dundas St West South Side,43.649559,-79.439653,402,Southbound,2,Bus
11578,11578,Lansdowne Ave at St Clair Ave West,43.676123,-79.450405,47,Northbound,1,Bus
13068,13068,Lawrence Ave East at East Ave - Rouge Hill GO Station,43.780829,-79.131368,354 | 38 | 385 | 395 | 54 | 85 | 954,Eastbound,1,Bus
5299,5299,Lawrence Ave East at Orton Park Rd,43.763877,-79.205766,354 | 54 | 954,Eastbound,1,Bus
5357,5357,Lawrence Ave West at Culford Rd,43.706494,-79.487529,352 | 52 | 952,Westbound,1,Bus
6046,6046,Lawrence Ave West at Scarlett Rd East Side,43.698378,-79.522285,352 | 52 | 952,Eastbound,2,Bus
5410,5410,Lawrence Ave West at Varna Dr West Side,43.717543,-79.437933,352 | 52,Westbound,1,Bus
5415,5415,Lawrence Ave West at Weston Rd - Weston GO Station,43.700276,-79.516006,352 | 52 | 79,Southbound,1,Bus
11638,11638,Lawrence Plaza at Canada Trust,43.719613,-79.432586,400,Eastbound,1,Bus
11637,11637,Lawrence Sq at Northwest Entrance,43.717187,-79.448281,400,Eastbound,1,Bus
11145,11145,Leslie St at Eastern Ave,43.661641,-79.329622,83,Southbound,1,Bus
